Controller family,Object Name,Action,ToolTip/Name,Value,Value1
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Part Number Label,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Part Number Edit,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Power Supply Label,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Power Supply ComboBox,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Spindle Label,CheckAbsenceOfObject,,,
"EET,ERC11x,ERC21x,EKE1x,AK-CC55",New Project Spindle ComboBox,CheckAbsenceOfObject,,,
ETC1Hx,Create_New_CodeNumberCB,CheckAbsenceOfObject,,,
ETC1Hx,New Project Code Number Label,CheckAbsenceOfObject,,,
"ETC1Hx,ERC21x,AK-CC55",NewProject_PVComboBox,CheckAbsenceOfObject,,,
"ETC1Hx,ERC21x,AK-CC55",New Project PVVersion Label,CheckAbsenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x",New Project SWVersion Label,CheckAbsenceOfObject,,,
"ETC1Hx, EET,ERC11x,ERC21x,EKE1x",EKE PV version combobox,CheckAbsenceOfObject,,,
"EET,ERC11x,EKE1x,AK-CC55",New Project Dynamic Application Label,CheckExistenceOfObject,,,
Common,New Project Back Button,Click_Button,,,
