controllerFamily,Object Name,Action,ToolTip/Name,Value,Value1
ERC11x,Create_New_CodeNumberCB,verifyList_When_DynamicChoiceInComboBox,,080G3202-GDM(Red LED without Buzzer)$$PV02%%080G3206-GDM(Blue LED without Buzzer)$$PV02%%080G3212-CFF(Red LED with Buzzer)$$PV02%%080G3216-CFF(Blue LED with Buzzer)$$PV02%%080G3202-GDM(Red LED without Buzzer)$$PV03%%080G3206-GDM(Blue LED without Buzzer)$$PV03%%080G3212-CFF(Red LED with Buzzer)$$PV03%%080G3216-CFF(Blue LED with Buzzer)$$PV03%%080G3224-CFF(Blue LED without Buzzer)$$PV01%%080G3238-GDM(Red LED without Buzzer)$$PV01%%080G3220-CFF(Blue LED with Buzzer)$$PV02%%080G3233-CFF(Blue LED with Buzzer)$$PV01%%080G3276-CFF(Blue LED with Buzzer)$$PV01%%080G3276-CFF(Blue LED with Buzzer)$$PV02%%080G3275-GDM(Blue LED with Buzzer)$$PV01%%080G3239-GDM(Red LED with Buzzer)$$PV01,NewProject_PVComboBox
EKE1x,Create_New_CodeNumberCB,verifyList_When_DynamicChoiceInComboBox,,080G5300$$PV03%%080G5300$$PV02%%080G5300$$PV01,EKE PV version combobox
EET,Create_New_CodeNumberCB,verifyList_When_DynamicChoiceInComboBox,,080N0010-EET Compact 1 Relay 230V$$PV01,NewProject_PVComboBox
